listing_number,property_type,furnished,pets_allowed,backup_water,bedrooms,bathrooms,kitchen,lounge,dining_room,parking,garden,pool,garage,erf_size (m²),floor_area (m²),suburb,city,province,price_type,price (ZAR)
115682592,Commercial,Unknown,No,Unknown,1,2,1,1,1,3,5,0,5,645.2,623.2,Foreshore,Cape Town,Western Cape,Per Month,135000.0
114746318,Commercial,No,No,No,1,2,1,1,1,3,5,0,5,612.3,226.0,Gardens,Cape Town,Western Cape,Per Month,69439.0
114128591,House,Unknown,Yes,Unknown,3,2,1,1,1,2,2,0,2,354.0,200.0,Lakeside,Cape Town,Western Cape,Per Month,22000.0
115798383,Apartment / Flat,Yes,No,Unknown,2,2,1,1,1,1,1,1,1,98.0,84.0,Bo Kaap,Cape Town,Western Cape,Per Month,27500.0
115504987,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,285.7,221.0,Observatory,Johannesburg,Gauteng,Per Month,29380.0
115602511,Commercial,No,No,No,1,2,1,1,1,3,5,0,5,241.1382113821138,234.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,35100.0
114252328,Apartment / Flat,Yes,No,Unknown,2,1,1,1,1,1,1,0,1,317.25,68.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,26000.0
109417754,Apartment / Flat,Yes,No,Unknown,2,3,1,1,1,1,1,1,1,354.0,211.75,Cape Town City Centre,Cape Town,Western Cape,Per Month,75000.0
115764946,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,434.7142857142857,498.7959183673469,Woodstock,Cape Town,Western Cape,Per Month,140000.0
115504458,Commercial,No,No,No,1,2,1,1,1,3,5,0,5,510.0,924.0,Pinelands,Cape Town,Western Cape,Per Month,166320.0
115520102,Commercial,No,No,Unknown,1,1,1,1,1,1,5,0,5,138.17241379310346,120.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,15600.0
115509079,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,604.5,602.25,Claremont,Cape Town,Western Cape,Per Month,143280.0
104229285,House,Unknown,Yes,Unknown,4,3,1,1,1,2,2,0,2,169.33333333333334,256.6666666666667,Woodstock,Cape Town,Western Cape,Per Month,21500.0
115642912,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,250.0,250.0,Observatory,Johannesburg,Gauteng,Per Month,88000.0
115639858,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,418.77777777777777,485.6190476190476,Mowbray,Cape Town,Western Cape,Per Month,824075.0
115746920,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,223.0,223.0,Claremont,Cape Town,Western Cape,Per m²,170.0
115494595,Commercial,No,No,Unknown,1,2,1,1,1,3,5,0,5,100.0,157.0,Kenilworth,Johannesburg,Gauteng,Per Month,32532.0
115658867,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,792.5,834.4117647058823,Airport Industria,Cape Town,Western Cape,Per Month,115400.0
115723855,Commercial,Unknown,No,No,1,3,1,1,1,4,5,0,5,398.0,398.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,37937.0
115508618,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,171.05882352941177,191.0,Claremont,Cape Town,Western Cape,Per Month,35335.0
115688622,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,331.6666666666667,306.8,Cape Town City Centre,Cape Town,Western Cape,Per m²,255.0
113790979,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,331.6666666666667,372.0,Cape Town City Centre,Cape Town,Western Cape,Per m²,120.0
